"Gene_symbol"	"   Genes"	"Freq"
"MSX1"	"msh homeobox 1"	"9"
"MTOR"	"mechanistic target of rapamycin (serine/threonine kinase)"	"9"
"NEUROD2"	"neuronal differentiation 2"	"9"
"OIP5"	"Opa interacting protein 5"	"9"
"OPRM1"	"opioid receptor, mu 1"	"9"
"PBX3"	"pre-B-cell leukemia homeobox 3"	"9"
"PRDX1"	"peroxiredoxin 1"	"9"
"REST"	"RE1-silencing transcription factor"	"9"
"RFX5"	"regulatory factor X, 5 (influences HLA class II expression)"	"9"
"RHOA"	"ras homolog family member A"	"9"
"SF1"	"splicing factor 1"	"9"
"SHH"	"sonic hedgehog"	"9"
"SOST"	"sclerostin"	"9"
"SP1"	"Sp1 transcription factor"	"9"
"STAT1"	"signal transducer and activator of transcription 1, 91kDa"	"9"
"TFAM"	"transcription factor A, mitochondrial"	"9"
"TGFBR2"	"transforming growth factor, beta receptor II (70/80kDa)"	"9"
"TGIF1"	"TGFB-induced factor homeobox 1"	"9"
"AATK"	"apoptosis-associated tyrosine kinase"	"8"
"ALAS2"	"aminolevulinate, delta-, synthase 2"	"8"
"ANGPTL4"	"angiopoietin-like 4"	"8"
"ARC"	"activity-regulated cytoskeleton-associated protein"	"8"
"BCL10"	"B-cell CLL/lymphoma 10"	"8"
"BCL11B"	"B-cell CLL/lymphoma 11B (zinc finger protein)"	"8"
"BEX2"	"brain expressed X-linked 2"	"8"
"BRD2"	"bromodomain containing 2"	"8"
"CR1"	"complement component (3b/4b) receptor 1 (Knops blood group)"	"8"
"CRY2"	"cryptochrome 2 (photolyase-like)"	"8"
"CTNNB1"	"catenin (cadherin-associated protein), beta 1, 88kDa"	"8"
"CTSS"	"cathepsin S"	"8"
"CXCR4"	"chemokine (C-X-C motif) receptor 4"	"8"
"ELP2"	"elongator acetyltransferase complex subunit 2"	"8"
"ETS1"	"v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)"	"8"
"FXYD5"	"FXYD domain containing ion transport regulator 5"	"8"
"GAD1"	"glutamate decarboxylase 1 (brain, 67kDa)"	"8"
"GRM4"	"glutamate receptor, metabotropic 4"	"8"
"HMGA1"	"high mobility group AT-hook 1"	"8"
"ID2"	"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"	"8"
"KDM3A"	"lysine (K)-specific demethylase 3A"	"8"
"KLF3"	"Kruppel-like factor 3 (basic)"	"8"
"KRAS"	"v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog"	"8"
"LEF1"	"lymphoid enhancer-binding factor 1"	"8"
"MAPK1"	"mitogen-activated protein kinase 1"	"8"
"MAX"	"MYC associated factor X"	"8"
"MESP1"	"mesoderm posterior 1 homolog (mouse)"	"8"
"NKX3-1"	"NK3 homeobox 1"	"8"
"NUCKS1"	"nuclear casein kinase and cyclin-dependent kinase substrate 1"	"8"
"OPA1"	"optic atrophy 1 (autosomal dominant)"	"8"
"OTX2"	"orthodenticle homeobox 2"	"8"
"PRDX2"	"peroxiredoxin 2"	"8"
"PTS"	"6-pyruvoyltetrahydropterin synthase"	"8"
"RARRES1"	"retinoic acid receptor responder (tazarotene induced) 1"	"8"
"RNF8"	"ring finger protein 8, E3 ubiquitin protein ligase"	"8"
"SEMA3A"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"	"8"
"SIRT6"	"sirtuin 6"	"8"
"SMC1A"	"structural maintenance of chromosomes 1A"	"8"
"SOX9"	"SRY (sex determining region Y)-box 9"	"8"
"SYT8"	"synaptotagmin VIII"	"8"
"TNIP1"	"TNFAIP3 interacting protein 1"	"8"
"TRIB2"	"tribbles homolog 2 (Drosophila)"	"8"
"TRIM24"	"tripartite motif containing 24"	"8"
"USP24"	"ubiquitin specific peptidase 24"	"8"
"ZFHX3"	"zinc finger homeobox 3"	"8"
"AKAP6"	"A kinase (PRKA) anchor protein 6"	"7"
"AKR1C3"	"aldo-keto reductase family 1, member C3"	"7"
"AKT1"	"v-akt murine thymoma viral oncogene homolog 1"	"7"
"ASCL2"	"achaete-scute complex homolog 2 (Drosophila)"	"7"
"ATAD2"	"ATPase family, AAA domain containing 2"	"7"
"ATAD5"	"ATPase family, AAA domain containing 5"	"7"
"ATF6"	"activating transcription factor 6"	"7"
"AXIN2"	"axin 2"	"7"
"BMP4"	"bone morphogenetic protein 4"	"7"
"BRCA1"	"breast cancer 1, early onset"	"7"
"CHD5"	"chromodomain helicase DNA binding protein 5"	"7"
"CHD8"	"chromodomain helicase DNA binding protein 8"	"7"
"CIITA"	"class II, major histocompatibility complex, transactivator"	"7"
"COL1A1"	"collagen, type I, alpha 1"	"7"
"COL1A2"	"collagen, type I, alpha 2"	"7"
"CYP21A2"	"cytochrome P450, family 21, subfamily A, polypeptide 2"	"7"
"ENY2"	"enhancer of yellow 2 homolog (Drosophila)"	"7"
"EPS8"	"epidermal growth factor receptor pathway substrate 8"	"7"
"ETV4"	"ets variant 4"	"7"
"F2"	"coagulation factor II (thrombin)"	"7"
"FGFR3"	"fibroblast growth factor receptor 3"	"7"
"GATA3"	"GATA binding protein 3"	"7"
"HAMP"	"hepcidin antimicrobial peptide"	"7"
"HNF4A"	"hepatocyte nuclear factor 4, alpha"	"7"
"ID3"	"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"	"7"
"IGF1R"	"insulin-like growth factor 1 receptor"	"7"
"INO80"	"INO80 homolog (S. cerevisiae)"	"7"
"INS"	"insulin"	"7"
"KDM4B"	"lysine (K)-specific demethylase 4B"	"7"
"KPNA7"	"karyopherin alpha 7 (importin alpha 8)"	"7"
"LILRB1"	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	"7"
"MEF2C"	"myocyte enhancer factor 2C"	"7"
"MKL1"	"megakaryoblastic leukemia (translocation) 1"	"7"
"MLL"	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"	"7"
"MSC"	"musculin"	"7"
"MTDH"	"metadherin"	"7"
"MYB"	"v-myb myeloblastosis viral oncogene homolog (avian)"	"7"
"NAB2"	"NGFI-A binding protein 2 (EGR1 binding protein 2)"	"7"
"NFKBIB"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta"	"7"
"NUPR1L"	"nuclear protein, transcriptional regulator, 1-like"	"7"
"ORMDL3"	"ORM1-like 3 (S. cerevisiae)"	"7"
"PLAG1"	"pleiomorphic adenoma gene 1"	"7"
"PLD1"	"phospholipase D1, phosphatidylcholine-specific"	"7"
"PML"	"promyelocytic leukemia"	"7"
"POT1"	"protection of telomeres 1"	"7"
"PRDM9"	"PR domain containing 9"	"7"
"PRMT1"	"protein arginine methyltransferase 1"	"7"
"PTGS2"	"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)"	"7"
"RAD51"	"RAD51 homolog (S. cerevisiae)"	"7"
"RBM38"	"RNA binding motif protein 38"	"7"
"SLBP"	"stem-loop binding protein"	"7"
"SOCS3"	"suppressor of cytokine signaling 3"	"7"
"STS"	"steroid sulfatase (microsomal), isozyme S"	"7"
"TBX2"	"T-box 2"	"7"
"TBX20"	"T-box 20"	"7"
"TG"	"thyroglobulin"	"7"
"TP73"	"tumor protein p73"	"7"
"ABCD2"	"ATP-binding cassette, sub-family D (ALD), member 2"	"6"
"ABI3"	"ABI family, member 3"	"6"
"ADH7"	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	"6"
"ARID1A"	"AT rich interactive domain 1A (SWI-like)"	"6"
"ASAP2"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	"6"
"ASS1"	"argininosuccinate synthase 1"	"6"
"BACE1"	"beta-site APP-cleaving enzyme 1"	"6"
"BACH1"	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	"6"
"BOK"	"BCL2-related ovarian killer"	"6"
"CDH1"	"cadherin 1, type 1, E-cadherin (epithelial)"	"6"
"CDK1"	"cyclin-dependent kinase 1"	"6"
"CDKN1B"	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	"6"
"CTR9"	"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	"6"
"DAG1"	"dystroglycan 1 (dystrophin-associated glycoprotein 1)"	"6"
"DCC"	"deleted in colorectal carcinoma"	"6"
"DMC1"	"DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)"	"6"
"DOT1L"	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"	"6"
"ERBB2"	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	"6"
"FBP1"	"fructose-1,6-bisphosphatase 1"	"6"
"FOS"	"FBJ murine osteosarcoma viral oncogene homolog"	"6"
"GEM"	"GTP binding protein overexpressed in skeletal muscle"	"6"
"GPSM1"	"G-protein signaling modulator 1"	"6"
"HDAC6"	"histone deacetylase 6"	"6"
"HES4"	"hairy and enhancer of split 4 (Drosophila)"	"6"
"HID1"	"HID1 domain containing"	"6"
"HLA-DOA"	"major histocompatibility complex, class II, DO alpha"	"6"
"HNF1B"	"HNF1 homeobox B"	"6"
"HOXA10"	"homeobox A10"	"6"
"ING4"	"inhibitor of growth family, member 4"	"6"
"ISL2"	"ISL LIM homeobox 2"	"6"
"ISX"	"intestine-specific homeobox"	"6"
"ITGB6"	"integrin, beta 6"	"6"
"IVD"	"isovaleryl-CoA dehydrogenase"	"6"
"MBD2"	"methyl-CpG binding domain protein 2"	"6"
"MLL5"	"myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)"	"6"
"MLX"	"MLX, MAX dimerization protein"	"6"
"NEUROD1"	"neuronal differentiation 1"	"6"
"NEUROG1"	"neurogenin 1"	"6"
"NF1"	"neurofibromin 1"	"6"
"NPAS2"	"neuronal PAS domain protein 2"	"6"
"NSD1"	"nuclear receptor binding SET domain protein 1"	"6"
"PAG1"	"phosphoprotein associated with glycosphingolipid microdomains 1"	"6"
"PAX3"	"paired box 3"	"6"
"PAX5"	"paired box 5"	"6"
"PAX6"	"paired box 6"	"6"
"PGBD3"	"piggyBac transposable element derived 3"	"6"
"PIF1"	"PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)"	"6"
"PIK3CA"	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha"	"6"
"PLAGL1"	"pleiomorphic adenoma gene-like 1"	"6"
"POMC"	"proopiomelanocortin"	"6"
"RAI1"	"retinoic acid induced 1"	"6"
"RPE"	"ribulose-5-phosphate-3-epimerase"	"6"
"RYBP"	"RING1 and YY1 binding protein"	"6"
"SALL4"	"sal-like 4 (Drosophila)"	"6"
"SETDB2"	"SET domain, bifurcated 2"	"6"
"SIX2"	"SIX homeobox 2"	"6"
"SKIL"	"SKI-like oncogene"	"6"
"SMURF2"	"SMAD specific E3 ubiquitin protein ligase 2"	"6"
"SPI1"	"spleen focus forming virus (SFFV) proviral integration oncogene spi1"	"6"
"SPRTN"	"SprT-like N-terminal domain"	"6"
"STAG3"	"stromal antigen 3"	"6"
"STK31"	"serine/threonine kinase 31"	"6"
"TDRD3"	"tudor domain containing 3"	"6"
"TET1"	"tet methylcytosine dioxygenase 1"	"6"
"TRPS1"	"trichorhinophalangeal syndrome I"	"6"
"YAP1"	"Yes-associated protein 1"	"6"
"YTHDF2"	"YTH domain family, member 2"	"6"
"ZPBP2"	"zona pellucida binding protein 2"	"6"
"AKT2"	"v-akt murine thymoma viral oncogene homolog 2"	"5"
"ANG"	"angiogenin, ribonuclease, RNase A family, 5"	"5"
"ATOH7"	"atonal homolog 7 (Drosophila)"	"5"
"CARM1"	"coactivator-associated arginine methyltransferase 1"	"5"
"CCL11"	"chemokine (C-C motif) ligand 11"	"5"
"CDC7"	"cell division cycle 7"	"5"
"CDK2"	"cyclin-dependent kinase 2"	"5"
"CEBPA"	"CCAAT/enhancer binding protein (C/EBP), alpha"	"5"
"CETP"	"cholesteryl ester transfer protein, plasma"	"5"
"CHD6"	"chromodomain helicase DNA binding protein 6"	"5"
"DCP1A"	"DCP1 decapping enzyme homolog A (S. cerevisiae)"	"5"
"DDX11"	"DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11"	"5"
"DNMT3B"	"DNA (cytosine-5-)-methyltransferase 3 beta"	"5"
"EGF"	"epidermal growth factor"	"5"
"F9"	"coagulation factor IX"	"5"
"FBXW7"	"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"	"5"
"FOXH1"	"forkhead box H1"	"5"
"FRMD6"	"FERM domain containing 6"	"5"
"GREM1"	"gremlin 1, DAN family BMP antagonist"	"5"
"H6PD"	"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)"	"5"
"HAS2"	"hyaluronan synthase 2"	"5"
"HMGN2"	"high mobility group nucleosomal binding domain 2"	"5"
"IDH2"	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	"5"
"IRF5"	"interferon regulatory factor 5"	"5"
"ITPR1"	"inositol 1,4,5-trisphosphate receptor, type 1"	"5"
"JAK2"	"Janus kinase 2"	"5"
"KAT2A"	"K(lysine) acetyltransferase 2A"	"5"
"KIF4A"	"kinesin family member 4A"	"5"
"MSMP"	"microseminoprotein, prostate associated"	"5"
"MTHFR"	"methylenetetrahydrofolate reductase (NAD(P)H)"	"5"
"MUC2"	"mucin 2, oligomeric mucus/gel-forming"	"5"
"NOTCH1"	"notch 1"	"5"
"NPM1"	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	"5"
"NRL"	"neural retina leucine zipper"	"5"
"OLIG2"	"oligodendrocyte lineage transcription factor 2"	"5"
"PINK1"	"PTEN induced putative kinase 1"	"5"
"PNPLA3"	"patatin-like phospholipase domain containing 3"	"5"
"POU2F3"	"POU class 2 homeobox 3"	"5"
"PRDM13"	"PR domain containing 13"	"5"
"PSMD10"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"	"5"
"RAG1"	"recombination activating gene 1"	"5"
"RELA"	"v-rel reticuloendotheliosis viral oncogene homolog A (avian)"	"5"
"SBSN"	"suprabasin"	"5"
"SERPINB3"	"serpin peptidase inhibitor, clade B (ovalbumin), member 3"	"5"
"SLC11A1"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"	"5"
"SMAD4"	"SMAD family member 4"	"5"
"SMURF1"	"SMAD specific E3 ubiquitin protein ligase 1"	"5"
"SORBS2"	"sorbin and SH3 domain containing 2"	"5"
"SOX3"	"SRY (sex determining region Y)-box 3"	"5"
"TAS2R8"	"taste receptor, type 2, member 8"	"5"
"TFAP2C"	"transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)"	"5"
"TGFB1"	"transforming growth factor, beta 1"	"5"
"TH"	"tyrosine hydroxylase"	"5"
"TLE3"	"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)"	"5"
"TMEM106B"	"transmembrane protein 106B"	"5"
"TRIB3"	"tribbles homolog 3 (Drosophila)"	"5"
"TUBB3"	"tubulin, beta 3 class III"	"5"
"U2AF2"	"U2 small nuclear RNA auxiliary factor 2"	"5"
"USP37"	"ubiquitin specific peptidase 37"	"5"
"ADAM17"	"ADAM metallopeptidase domain 17"	"4"
"AGT"	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	"4"
"ANO1"	"anoctamin 1, calcium activated chloride channel"	"4"
"ANXA2"	"annexin A2"	"4"
"ATF2"	"activating transcription factor 2"	"4"
"BCL3"	"B-cell CLL/lymphoma 3"	"4"
"BCL11A"	"B-cell CLL/lymphoma 11A (zinc finger protein)"	"4"
"BCOR"	"BCL6 corepressor"	"4"
"BLM"	"Bloom syndrome, RecQ helicase-like"	"4"
"BMPR2"	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	"4"
"CBX3"	"chromobox homolog 3"	"4"
"CCR6"	"chemokine (C-C motif) receptor 6"	"4"
"CCS"	"copper chaperone for superoxide dismutase"	"4"
"CD44"	"CD44 molecule (Indian blood group)"	"4"
"CDC42"	"cell division cycle 42"	"4"
"CGA"	"glycoprotein hormones, alpha polypeptide"	"4"
"COL2A1"	"collagen, type II, alpha 1"	"4"
"COL11A1"	"collagen, type XI, alpha 1"	"4"
"CP"	"ceruloplasmin (ferroxidase)"	"4"
"CS"	"citrate synthase"	"4"
"DAZL"	"deleted in azoospermia-like"	"4"
"DDX43"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 43"	"4"
"DIRAS3"	"DIRAS family, GTP-binding RAS-like 3"	"4"
"DMD"	"dystrophin"	"4"
"DNAJB6"	"DnaJ (Hsp40) homolog, subfamily B, member 6"	"4"
